Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
DG-NE423AF-7-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-8-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-9-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-10-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-11-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-12-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-NE423AF-13-BLK,"Dromex Synthetic ARC Gloves, 16.8 CAL, 42.3 CAL Front - ARC Synthetic Gloves",,True,1,500.5,575.575,481.25,553.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC55-S,Dromex ARC Fabric Gloves ATPV 55 CAL,,True,1,930.0,1069.5,894.0,1028.1,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC55-M,Dromex ARC Fabric Gloves ATPV 55 CAL,,True,1,930.0,1069.5,894.0,1028.1,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC55-L,Dromex ARC Fabric Gloves ATPV 55 CAL,,True,1,930.0,1069.5,894.0,1028.1,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC55-XL,Dromex ARC Fabric Gloves ATPV 55 CAL,,True,1,930.0,1069.5,894.0,1028.1,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC100-S,Dromex ARC Fabric Gloves ATPV 100CAL,,True,1,2002.0,2302.3,1925.0,2213.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC100-M,Dromex ARC Fabric Gloves ATPV 100CAL,,True,1,2002.0,2302.3,1925.0,2213.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC100-L,Dromex ARC Fabric Gloves ATPV 100CAL,,True,1,2002.0,2302.3,1925.0,2213.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-ARC100-XL,Dromex ARC Fabric Gloves ATPV 100CAL,,True,1,2002.0,2302.3,1925.0,2213.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
PU2001-7-W,Dromex Inspector Seamless Inspecors Gloves - PU Palm Coated on Knitted Shell,,True,1,9.0,10.35,8.0,9.2,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
